State,County,ZIP,City,Disaster,SEP End Date
Alabama,Blount,35013,Allgood,"Severe Weather",2026-05-31
Alabama,Blount,35031,Blountsville,"Severe Weather",2026-05-31
Alabama,Blount,35049,Cleveland,"Severe Weather",2026-05-31
Alabama,Blount,35097,Locust Fork,"Severe Weather",2026-05-31
Alabama,Blount,35126,Pinson,"Severe Weather",2026-05-31
Alabama,Blount,35172,Trafford,"Severe Weather",2026-05-31
Alabama,Blount,35180,Warrior,"Severe Weather",2026-05-31
Alabama,Blount,35976,Guntersville,"Severe Weather",2026-05-31
Alabama,Blount,35980,Horton,"Severe Weather",2026-05-31
Alabama,Cherokee,35901,Gadsden,"Severe Weather",2026-05-31
Alabama,Cherokee,35903,Gadsden,"Severe Weather",2026-05-31
Alabama,Cherokee,35959,Cedar Bluff,"Severe Weather",2026-05-31
Alabama,Cherokee,35960,Centre,"Severe Weather",2026-05-31
Alabama,Cherokee,35967,Fort Payne,"Severe Weather",2026-05-31
Alabama,Cherokee,35973,Gaylesville,"Severe Weather",2026-05-31
Alabama,Cherokee,35984,Mentone,"Severe Weather",2026-05-31
Alabama,Cherokee,36275,Spring Garden,"Severe Weather",2026-05-31
Alabama,Colbert,35582,Red Bay,"Severe Weather",2026-05-31
Alabama,Colbert,35616,Cherokee,"Severe Weather",2026-05-31
Alabama,Colbert,35646,Leighton,"Severe Weather",2026-05-31
Alabama,Colbert,35660,Sheffield,"Severe Weather",2026-05-31
Alabama,Colbert,35661,Muscle Shoals,"Severe Weather",2026-05-31
Alabama,Colbert,35672,Town Creek,"Severe Weather",2026-05-31
Alabama,Colbert,35674,Tuscumbia,"Severe Weather",2026-05-31
Alabama,Cullman,35019,Baileyton,"Severe Weather",2026-05-31
Alabama,Cullman,35033,Bremen,"Severe Weather",2026-05-31
Alabama,Cullman,35053,Crane Hill,"Severe Weather",2026-05-31
Alabama,Cullman,35055,Cullman,"Severe Weather",2026-05-31
Alabama,Cullman,35056,Cullman,"Severe Weather",2026-05-31
Alabama,Cullman,35057,Cullman,"Severe Weather",2026-05-31
Alabama,Cullman,35058,Cullman,"Severe Weather",2026-05-31
Alabama,Cullman,35070,Garden City,"Severe Weather",2026-05-31
Alabama,Cullman,35077,Hanceville,"Severe Weather",2026-05-31
Alabama,Cullman,35083,Holly Pond,"Severe Weather",2026-05-31
Alabama,Cullman,35087,Joppa,"Severe Weather",2026-05-31
Alabama,Cullman,35098,Logan,"Severe Weather",2026-05-31
Alabama,Cullman,35619,Danville,"Severe Weather",2026-05-31
Alabama,Cullman,35621,Eva,"Severe Weather",2026-05-31
Alabama,Cullman,35622,Falkville,"Severe Weather",2026-05-31
Alabama,Etowah,35121,Oneonta,"Severe Weather",2026-05-31
Alabama,Etowah,35902,Gadsden,"Severe Weather",2026-05-31
Alabama,Etowah,35904,Gadsden,"Severe Weather",2026-05-31
Alabama,Etowah,35906,Rainbow City,"Severe Weather",2026-05-31
Alabama,Etowah,35907,Gadsden,"Severe Weather",2026-05-31
